0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"Traffic Vol, veh/h              ",788 ,1   ,3   ,265 ,0   ,4,,,,,,,,,,,,
"Future Vol, veh/h               ",788 ,1   ,3   ,265 ,0   ,4,,,,,,,,,,,,
"Conflicting Peds, #/hr          ",0   ,0   ,0   ,0   ,0   ,0,,,,,,,,,,,,
Sign Control                    ,Free,Free,Free,Free,Stop,Stop,,,,,,,,,,,,
RT Channelized                  ,-   ,None,-   ,None,-   ,None,,,,,,,,,,,,
Storage Length                  ,-   ,-   ,-   ,-   ,0   ,-,,,,,,,,,,,,
"Veh in Median Storage, #        ",0   ,-   ,-   ,0   ,0   ,-,,,,,,,,,,,,
"Grade, %                        ",5   ,-   ,-   ,-5  ,8   ,-,,,,,,,,,,,,
Peak Hour Factor                ,87  ,87  ,87  ,87  ,87  ,87,,,,,,,,,,,,
"Heavy Vehicles, %               ",7   ,0   ,33  ,11  ,0   ,0,,,,,,,,,,,,
Mvmt Flow                       ,906 ,1   ,3   ,305 ,0   ,5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Approach                        ,EB  ,    ,WB  ,    ,NB,,,,,,,,,,,,,
"HCM Control Delay, s/v          ",0   ,    ,0.1 ,    ,18.3,,,,,,,,,,,,,
HCM LOS                         ,    ,    ,    ,    ,C,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Minor Lane/Major Mvmt           ,    ,NBLn1,EBT ,EBR ,WBL ,WBT,,,,,,,,,,,,
Capacity (veh/h)                ,    ,275 ,-   ,-   ,636 ,-,,,,,,,,,,,,
HCM Lane V/C Ratio              ,    ,0.017,-   ,-   ,0.005,-,,,,,,,,,,,,
HCM Control Delay (s/veh)       ,    ,18.3,-   ,-   ,10.7,0,,,,,,,,,,,,
HCM Lane LOS                    ,    ,C   ,-   ,-   ,B   ,A,,,,,,,,,,,,
HCM 95th %tile Q (veh)          ,    ,0.1 ,-   ,-   ,0   ,-,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,NEL,NET,NER,SWL,SWT,SWR
Lane Configurations             ,    ,    ,    ,1>  ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,1>  ,0   ,1   ,1,
Traffic Volume (vph)            ,    ,    ,    ,67  ,    ,16  ,    ,    ,    ,    ,    ,    ,    ,520 ,212 ,57  ,382,
Future Volume (vph)             ,    ,    ,    ,67  ,    ,16  ,    ,    ,    ,    ,    ,    ,    ,520 ,212 ,57  ,382,
Ideal Flow (vphpl)              ,    ,    ,    ,1900,    ,1900,    ,    ,    ,    ,    ,    ,    ,1900,1900,1900,1900,
Lane Width (ft)                 ,    ,    ,    ,11  ,    ,12  ,    ,    ,    ,    ,    ,    ,    ,12  ,12  ,12  ,13,
Grade (%)                       ,    ,    ,    ,-2% ,    ,    ,    ,    ,    ,    ,    ,    ,    ,-2% ,    ,    ,1%,
Storage Length (ft)             ,    ,    ,    ,0   ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,200,,
Storage Lanes                   ,    ,    ,    ,1   ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,1,,
Taper Length (ft)               ,    ,    ,    ,25  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,25,,
Lane Util. Factor               ,    ,    ,    ,1.00,    ,1.00,    ,    ,    ,    ,    ,    ,    ,1.00,1.00,1.00,1.00,
Frt                             ,    ,    ,    ,0.974,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.961,,,,
Flt Protected                   ,    ,    ,    ,0.961,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.950,,
Satd. Flow (prot)               ,    ,    ,    ,1631,    ,0   ,    ,    ,    ,    ,    ,    ,    ,1738,0   ,1350,1729,
Flt Permitted                   ,    ,    ,    ,0.961,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.950,,
Satd. Flow (perm)               ,    ,    ,    ,1631,    ,0   ,    ,    ,    ,    ,    ,    ,    ,1738,0   ,1350,1729,
Link Speed (mph)                ,    ,    ,    ,30  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,45  ,    ,    ,45,
Link Distance (ft)              ,    ,    ,    ,2121,    ,    ,    ,    ,    ,    ,    ,    ,    ,872 ,    ,    ,1130,
Travel Time (s)                 ,    ,    ,    ,48.2,    ,    ,    ,    ,    ,    ,    ,    ,    ,13.2,    ,    ,17.1,
Peak Hour Factor                ,    ,    ,    ,0.89,    ,0.89,    ,    ,    ,    ,    ,    ,    ,0.89,0.89,0.89,0.89,
Heavy Vehicles (%)              ,    ,    ,    ,8%  ,    ,0%  ,    ,    ,    ,    ,    ,    ,    ,7%  ,4%  ,33% ,13%,
Adj. Flow (vph)                 ,    ,    ,    ,75  ,    ,18  ,    ,    ,    ,    ,    ,    ,    ,584 ,238 ,64  ,429,
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,    ,    ,    ,93  ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,822 ,0   ,64  ,429,
Enter Blocked Intersection      ,    ,    ,    ,No  ,    ,No  ,    ,    ,    ,    ,    ,    ,    ,No  ,No  ,No  ,No,
Lane Alignment                  ,    ,    ,    ,Left,    ,Right,    ,    ,    ,    ,    ,    ,    ,Left,Right,Left,Left,
Median Width(ft)                ,    ,    ,    ,11  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,12  ,    ,    ,12,
Link Offset(ft)                 ,    ,    ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,    ,    ,0,
Crosswalk Width(ft)             ,    ,    ,    ,16  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,16  ,    ,    ,16,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
Headway Factor                  ,    ,    ,    ,1.03,    ,0.99,    ,    ,    ,    ,    ,    ,    ,0.99,0.99,1.01,0.96,
Turning Speed (mph)             ,    ,    ,    ,15  ,    ,9   ,    ,    ,    ,    ,    ,    ,    ,    ,9   ,15,,
Sign Control                    ,    ,    ,    ,Stop,    ,    ,    ,    ,    ,    ,    ,    ,    ,Free,    ,    ,Free,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Control Type: Unsignalized,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
Intersection,,,,,,,,,,,,,,,,,,
"Int Delay, s/veh                ",2.6,,,,,,,,,,,,,,,,,
Movement,WBL,WBR,NET,NER,SWL,SWT,,,,,,,,,,,,
Lane Configurations             ,1>  ,0   ,1>  ,0   ,1   ,1,,,,,,,,,,,,
"Traffic Vol, veh/h              ",67  ,16  ,520 ,212 ,57  ,382,,,,,,,,,,,,
"Future Vol, veh/h               ",67  ,16  ,520 ,212 ,57  ,382,,,,,,,,,,,,
"Conflicting Peds, #/hr          ",0   ,0   ,0   ,0   ,0   ,0,,,,,,,,,,,,
Sign Control                    ,Stop,Stop,Free,Free,Free,Free,,,,,,,,,,,,
RT Channelized                  ,-   ,None,-   ,Yield,-   ,None,,,,,,,,,,,,
Storage Length                  ,0   ,-   ,-   ,-   ,200 ,-,,,,,,,,,,,,
"Veh in Median Storage, #        ",0   ,-   ,0   ,-   ,-   ,0,,,,,,,,,,,,
"Grade, %                        ",-2  ,-   ,-2  ,-   ,-   ,1,,,,,,,,,,,,
Peak Hour Factor                ,89  ,89  ,89  ,89  ,89  ,89,,,,,,,,,,,,
"Heavy Vehicles, %               ",8   ,0   ,7   ,4   ,33  ,13,,,,,,,,,,,,
Mvmt Flow                       ,75  ,18  ,584 ,238 ,64  ,429,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Approach                        ,WB  ,    ,NE  ,    ,SW,,,,,,,,,,,,,
"HCM Control Delay, s/v          ",33.3,    ,0   ,    ,1.2,,,,,,,,,,,,,
HCM LOS                         ,D,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Minor Lane/Major Mvmt           ,    ,NET ,NER ,WBLn1,SWL ,SWT,,,,,,,,,,,,
Capacity (veh/h)                ,    ,-   ,-   ,218 ,855 ,-,,,,,,,,,,,,
HCM Lane V/C Ratio              ,    ,-   ,-   ,0.428,0.075,-,,,,,,,,,,,,
HCM Control Delay (s/veh)       ,    ,-   ,-   ,33.3,9.6 ,-,,,,,,,,,,,,
HCM Lane LOS                    ,    ,-   ,-   ,D   ,A   ,-,,,,,,,,,,,,
HCM 95th %tile Q (veh)          ,    ,-   ,-   ,2   ,0.2 ,-,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,,,,,,
Lane Configurations             ,0   ,<1  ,1   ,0   ,<1> ,0   ,1   ,2>  ,0   ,1   ,2   ,1,,,,,,
Traffic Volume (vph)            ,286 ,7   ,373 ,9   ,0   ,6   ,382 ,1350,39  ,16  ,1027,302,,,,,,
Future Volume (vph)             ,286 ,7   ,373 ,9   ,0   ,6   ,382 ,1350,39  ,16  ,1027,302,,,,,,
Ideal Flow (vphpl)              ,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,
Grade (%)                       ,    ,0%  ,    ,    ,4%  ,    ,    ,-1% ,    ,    ,0%,,,,,,,
Storage Length (ft)             ,0   ,    ,0   ,0   ,    ,0   ,525 ,    ,0   ,100 ,    ,0,,,,,,
Storage Lanes                   ,0   ,    ,1   ,0   ,    ,0   ,1   ,    ,0   ,1   ,    ,1,,,,,,
Taper Length (ft)               ,25  ,    ,    ,25  ,    ,    ,25  ,    ,    ,25,,,,,,,,
Lane Util. Factor               ,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,0.95,1.00,0.95,1.00,,,,,,
Frt                             ,    ,    ,0.850,    ,0.944,    ,    ,0.996,    ,    ,    ,0.850,,,,,,
Flt Protected                   ,    ,0.953,    ,    ,0.971,    ,0.950,    ,    ,0.950,,,,,,,,
Satd. Flow (prot)               ,0   ,1710,1509,0   ,1603,0   ,1591,3475,0   ,1805,3471,1583,,,,,,
Flt Permitted                   ,    ,0.719,    ,    ,0.804,    ,0.105,    ,    ,0.126,,,,,,,,
Satd. Flow (perm)               ,0   ,1290,1509,0   ,1327,0   ,176 ,3475,0   ,239 ,3471,1583,,,,,,
Right Turn on Red               ,    ,    ,Yes ,    ,    ,Yes ,    ,    ,Yes ,    ,    ,Yes,,,,,,
Satd. Flow (RTOR)               ,    ,    ,356 ,    ,109 ,    ,    ,5   ,    ,    ,    ,351,,,,,,
Link Speed (mph)                ,    ,45  ,    ,    ,45  ,    ,    ,45  ,    ,    ,45,,,,,,,
Link Distance (ft)              ,    ,319 ,    ,    ,392 ,    ,    ,755 ,    ,    ,645,,,,,,,
Travel Time (s)                 ,    ,4.8 ,    ,    ,5.9 ,    ,    ,11.4,    ,    ,9.8,,,,,,,
Peak Hour Factor                ,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,
Heavy Vehicles (%)              ,6%  ,0%  ,7%  ,11% ,0%  ,0%  ,14% ,4%  ,3%  ,0%  ,4%  ,2%,,,,,,
Adj. Flow (vph)                 ,333 ,8   ,434 ,10  ,0   ,7   ,444 ,1570,45  ,19  ,1194,351,,,,,,
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,0   ,341 ,434 ,0   ,17  ,0   ,444 ,1615,0   ,19  ,1194,351,,,,,,
Enter Blocked Intersection      ,No  ,No  ,No  ,No  ,No  ,No  ,No  ,No  ,No  ,No  ,No  ,No,,,,,,
Lane Alignment                  ,Left,Left,Right,Left,Left,Right,Left,Left,Right,Left,Left,Right,,,,,,
Median Width(ft)                ,    ,0   ,    ,    ,0   ,    ,    ,12  ,    ,    ,12,,,,,,,
Link Offset(ft)                 ,    ,0   ,    ,    ,0   ,    ,    ,0   ,    ,    ,0,,,,,,,
Crosswalk Width(ft)             ,    ,16  ,    ,    ,16  ,    ,    ,16  ,    ,    ,16,,,,,,,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
Headway Factor                  ,1.00,1.00,1.00,1.03,1.03,1.03,0.99,0.99,0.99,1.00,1.00,1.00,,,,,,
Turning Speed (mph)             ,15  ,    ,9   ,15  ,    ,9   ,15  ,    ,9   ,15  ,    ,9,,,,,,
Number of Detectors             ,1   ,2   ,2   ,1   ,2   ,    ,2   ,2   ,    ,2   ,2   ,2,,,,,,
Detector Template               ,Left,    ,    ,Left,,,,,,,,,,,,,,
Leading Detector (ft)           ,20  ,83  ,83  ,20  ,83  ,    ,83  ,83  ,    ,83  ,83  ,83,,,,,,
Trailing Detector (ft)          ,0   ,-5  ,-5  ,0   ,-5  ,    ,-5  ,-5  ,    ,-5  ,-5  ,-5,,,,,,
Detector 1 Position(ft)         ,0   ,-5  ,-5  ,0   ,-5  ,    ,-5  ,-5  ,    ,-5  ,-5  ,-5,,,,,,
Detector 1 Size(ft)             ,20  ,40  ,40  ,20  ,40  ,    ,40  ,40  ,    ,40  ,40  ,40,,,,,,
Detector 1 Type                 ,Cl+Ex,Cl+Ex,Cl+Ex,Cl+Ex,Cl+Ex,    ,Cl+Ex,Cl+Ex,    ,Cl+Ex,Cl+Ex,Cl+Ex,,,,,,
Detector 1 Channel,,,,,,,,,,,,,,,,,,
Detector 1 Extend (s)           ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,    ,0.0 ,0.0 ,    ,0.0 ,0.0 ,0.0,,,,,,
Detector 1 Queue (s)            ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,    ,0.0 ,0.0 ,    ,0.0 ,0.0 ,0.0,,,,,,
Detector 1 Delay (s)            ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,    ,0.0 ,0.0 ,    ,0.0 ,0.0 ,0.0,,,,,,
Detector 2 Position(ft)         ,    ,43  ,43  ,    ,43  ,    ,43  ,43  ,    ,43  ,43  ,43,,,,,,
Detector 2 Size(ft)             ,    ,40  ,40  ,    ,40  ,    ,40  ,40  ,    ,40  ,40  ,40,,,,,,
Detector 2 Type                 ,    ,Cl+Ex,Cl+Ex,    ,Cl+Ex,    ,Cl+Ex,Cl+Ex,    ,Cl+Ex,Cl+Ex,Cl+Ex,,,,,,
Detector 2 Channel,,,,,,,,,,,,,,,,,,
Detector 2 Extend (s)           ,    ,0.0 ,0.0 ,    ,0.0 ,    ,0.0 ,0.0 ,    ,0.0 ,0.0 ,0.0,,,,,,
Turn Type                       ,Perm,NA  ,Perm,Perm,NA  ,    ,pm+pt,NA  ,    ,Perm,NA  ,Perm,,,,,,
Protected Phases                ,    ,4   ,    ,    ,8   ,    ,5   ,2   ,    ,    ,6,,,,,,,
Permitted Phases                ,4   ,    ,4   ,8   ,    ,    ,2   ,    ,    ,6   ,    ,6,,,,,,
Detector Phase                  ,4   ,4   ,4   ,8   ,8   ,    ,5   ,2   ,    ,6   ,6   ,6,,,,,,
Switch Phase,,,,,,,,,,,,,,,,,,
Minimum Initial (s)             ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,    ,5.0 ,5.0 ,    ,5.0 ,5.0 ,5.0,,,,,,
Minimum Split (s)               ,24.0,24.0,24.0,24.0,24.0,    ,11.0,24.0,    ,24.0,24.0,24.0,,,,,,
Total Split (s)                 ,31.0,31.0,31.0,31.0,31.0,    ,21.0,59.0,    ,38.0,38.0,38.0,,,,,,
Total Split (%)                 ,34.4%,34.4%,34.4%,34.4%,34.4%,    ,23.3%,65.6%,    ,42.2%,42.2%,42.2%,,,,,,
Maximum Green (s)               ,25.0,25.0,25.0,25.0,25.0,    ,15.0,53.0,    ,32.0,32.0,32.0,,,,,,
Yellow Time (s)                 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,    ,5.0 ,5.0 ,    ,5.0 ,5.0 ,5.0,,,,,,
All-Red Time (s)                ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,    ,1.0 ,1.0 ,    ,1.0 ,1.0 ,1.0,,,,,,
Lost Time Adjust (s)            ,    ,0.0 ,0.0 ,    ,0.0 ,    ,0.0 ,0.0 ,    ,0.0 ,0.0 ,0.0,,,,,,
Total Lost Time (s)             ,    ,6.0 ,6.0 ,    ,6.0 ,    ,6.0 ,6.0 ,    ,6.0 ,6.0 ,6.0,,,,,,
Lead/Lag                        ,    ,    ,    ,    ,    ,    ,Lead,    ,    ,Lag ,Lag ,Lag,,,,,,
Lead-Lag Optimize?              ,    ,    ,    ,    ,    ,    ,Yes ,    ,    ,Yes ,Yes ,Yes,,,,,,
Vehicle Extension (s)           ,3.0 ,3.0 ,3.0 ,3.0 ,3.0 ,    ,3.0 ,3.0 ,    ,3.0 ,3.0 ,3.0,,,,,,
Recall Mode                     ,None,None,None,None,None,    ,None,Max ,    ,Max ,Max ,Max,,,,,,
Walk Time (s)                   ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 ,    ,    ,7.0 ,    ,7.0 ,7.0 ,7.0,,,,,,
Flash Dont Walk (s)             ,11.0,11.0,11.0,11.0,11.0,    ,    ,11.0,    ,11.0,11.0,11.0,,,,,,
Pedestrian Calls (#/hr)         ,0   ,0   ,0   ,0   ,0   ,    ,    ,0   ,    ,0   ,0   ,0,,,,,,
v/c Ratio                       ,    ,0.95,0.64,    ,0.03,    ,1.30,0.78,    ,0.22,0.96,0.44,,,,,,
Control Delay (s/veh)           ,    ,72.6,10.9,    ,0.1 ,    ,182.7,17.6,    ,28.6,48.0,4.3,,,,,,
Queue Delay                     ,    ,0.0 ,0.0 ,    ,0.0 ,    ,0.0 ,0.0 ,    ,0.0 ,0.0 ,0.0,,,,,,
Total Delay (s/veh)             ,    ,72.6,10.9,    ,0.1 ,    ,182.7,17.6,    ,28.6,48.0,4.3,,,,,,
Queue Length 50th (ft)          ,    ,190 ,34  ,    ,0   ,    ,~284,341 ,    ,7   ,346 ,0,,,,,,
Queue Length 95th (ft)          ,    ,#333,109 ,    ,0   ,    ,#438,397 ,    ,26  ,#452,46,,,,,,
Internal Link Dist (ft)         ,    ,239 ,    ,    ,312 ,    ,    ,675 ,    ,    ,565,,,,,,,
Turn Bay Length (ft)            ,    ,    ,    ,    ,    ,    ,525 ,    ,    ,100,,,,,,,,
Base Capacity (vph)             ,    ,359 ,677 ,    ,448 ,    ,340 ,2053,    ,84  ,1237,790,,,,,,
Starvation Cap Reductn          ,    ,0   ,0   ,    ,0   ,    ,0   ,0   ,    ,0   ,0   ,0,,,,,,
Spillback Cap Reductn           ,    ,0   ,0   ,    ,0   ,    ,0   ,0   ,    ,0   ,0   ,0,,,,,,
Storage Cap Reductn             ,    ,0   ,0   ,    ,0   ,    ,0   ,0   ,    ,0   ,0   ,0,,,,,,
Reduced v/c Ratio               ,    ,0.95,0.64,    ,0.04,    ,1.31,0.79,    ,0.23,0.97,0.44,,,,,,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Cycle Length: 90,,,,,,,,,,,,,,,,,,
Actuated Cycle Length: 89.8,,,,,,,,,,,,,,,,,,
Natural Cycle: 110,,,,,,,,,,,,,,,,,,
Control Type: Actuated-Uncoordinated,,,,,,,,,,,,,,,,,,
"~    Volume exceeds capacity, queue is theoretically infinite.",,,,,,,,,,,,,,,,,,
Queue shown is maximum after two cycles.,,,,,,,,,,,,,,,,,,
"#    95th percentile volume exceeds capacity, queue may be longer.",,,,,,,,,,,,,,,,,,
Queue shown is maximum after two cycles.,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,
Movement,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,,,,,,
Lane Configurations             ,0   ,<1  ,1   ,0   ,<1> ,0   ,1   ,2>  ,0   ,1   ,2   ,1,,,,,,
Traffic Volume (veh/h)          ,286 ,7   ,373 ,9   ,0   ,6   ,382 ,1350,39  ,16  ,1027,302,,,,,,
Future Volume (veh/h)           ,286 ,7   ,373 ,9   ,0   ,6   ,382 ,1350,39  ,16  ,1027,302,,,,,,
"Initial Q (Qb), veh             ",0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0,,,,,,
Ped-Bike Adj(A_pbT)             ,1.00,    ,1.00,1.00,    ,1.00,1.00,    ,1.00,1.00,    ,1.00,,,,,,
"Parking Bus, Adj                ",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,
Work Zone On Approach           ,    ,No  ,    ,    ,No  ,    ,    ,No  ,    ,    ,No,,,,,,,
"Adj Sat Flow, veh/h/ln          ",1811,1900,1796,1643,1806,1806,1729,1879,1894,1900,1841,1870,,,,,,
"Adj Flow Rate, veh/h            ",333 ,8   ,0   ,10  ,0   ,7   ,444 ,1570,45  ,19  ,1194,0,,,,,,
Peak Hour Factor                ,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,
"Percent Heavy Veh, %            ",6   ,0   ,7   ,11  ,0   ,0   ,14  ,4   ,3   ,0   ,4   ,2,,,,,,
"Cap, veh/h                      ",445 ,9   ,    ,308 ,16  ,181 ,381 ,2149,61  ,175 ,1280,,,,,,,
Arrive On Green                 ,0.26,0.26,0.00,0.26,0.00,0.26,0.17,0.61,0.61,0.37,0.37,0.00,,,,,,
"Sat Flow, veh/h                 ",1416,34  ,1522,946 ,62  ,705 ,1647,3545,101 ,318 ,3497,1585,,,,,,
"Grp Volume(v), veh/h            ",341 ,0   ,0   ,17  ,0   ,0   ,444 ,789 ,826 ,19  ,1194,0,,,,,,
"Grp Sat Flow(s),veh/h/ln        ",1450,0   ,1522,1713,0   ,0   ,1647,1785,1861,318 ,1749,1585,,,,,,
"Q Serve(g_s), s                 ",19.3,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,15.0,27.3,27.5,3.9 ,28.7,0.0,,,,,,
"Cycle Q Clear(g_c), s           ",20.0,0.0 ,0.0 ,0.7 ,0.0 ,0.0 ,15.0,27.3,27.5,10.4,28.7,0.0,,,,,,
Prop In Lane                    ,0.98,    ,1.00,0.59,    ,0.41,1.00,    ,0.05,1.00,    ,1.00,,,,,,
"Lane Grp Cap(c), veh/h          ",453 ,0   ,    ,505 ,0   ,0   ,381 ,1082,1128,175 ,1280,,,,,,,
V/C Ratio(X)                    ,0.75,0.00,    ,0.03,0.00,0.00,1.17,0.73,0.73,0.11,0.93,,,,,,,
"Avail Cap(c_a), veh/h           ",496 ,0   ,    ,547 ,0   ,0   ,381 ,1082,1128,175 ,1280,,,,,,,
HCM Platoon Ratio               ,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,
Upstream Filter(I)              ,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,,,,,,
"Uniform Delay (d), s/veh        ",31.5,0.0 ,0.0 ,24.4,0.0 ,0.0 ,24.3,12.1,12.2,23.3,26.7,0.0,,,,,,
"Incr Delay (d2), s/veh          ",5.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,99.2,4.3 ,4.2 ,1.2 ,13.5,0.0,,,,,,
"Initial Q Delay(d3), s/veh      ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,,,,,,
"%ile BackOfQ(50%),veh/ln        ",7.2 ,0.0 ,0.0 ,0.3 ,0.0 ,0.0 ,14.0,9.8 ,10.2,0.3 ,13.1,0.0,,,,,,
"Unsig. Movement Delay, s/veh",,,,,,,,,,,,,,,,,,
"LnGrp Delay(d), s/veh           ",37.3,0.0 ,0.0 ,24.4,0.0 ,0.0 ,123.5,16.5,16.4,24.5,40.2,0.0,,,,,,
LnGrp LOS                       ,D   ,    ,    ,C   ,    ,    ,F   ,B   ,B   ,C   ,D,,,,,,,
"Approach Vol, veh/h             ",    ,341 ,    ,    ,17  ,    ,    ,2059,    ,    ,1213,,,,,,,
"Approach Delay, s/veh           ",    ,37.3,    ,    ,24.4,    ,    ,39.5,    ,    ,39.9,,,,,,,
Approach LOS                    ,    ,D   ,    ,    ,C   ,    ,    ,D   ,    ,    ,D,,,,,,,
Intersection Summary,,,,,,,,,,,,,,,,,,
"HCM 6th Ctrl Delay, s/veh       ",39.4,,,,,,,,,,,,,,,,,
HCM 6th LOS                     ,D,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,NEL,NET,NER,,,
Lane Configurations             ,    ,    ,    ,0   ,    ,1   ,0   ,2   ,0   ,0   ,2>  ,0   ,0   ,    ,0,,,
Traffic Volume (vph)            ,    ,    ,    ,0   ,    ,593 ,0   ,1177,0   ,0   ,1313,96  ,0   ,    ,0,,,
Future Volume (vph)             ,    ,    ,    ,0   ,    ,593 ,0   ,1177,0   ,0   ,1313,96  ,0   ,    ,0,,,
Ideal Flow (vphpl)              ,    ,    ,    ,1900,    ,1900,1900,1900,1900,1900,1900,1900,1900,    ,1900,,,
Lane Width (ft)                 ,    ,    ,    ,12  ,    ,14  ,12  ,12  ,12  ,12  ,12  ,12  ,12  ,    ,12,,,
Lane Util. Factor               ,    ,    ,    ,1.00,    ,1.00,1.00,0.95,1.00,1.00,0.95,0.95,1.00,    ,1.00,,,
Frt                             ,    ,    ,    ,    ,    ,0.865,    ,    ,    ,    ,0.990,,,,,,,
Flt Protected,,,,,,,,,,,,,,,,,,
Satd. Flow (prot)               ,    ,    ,    ,0   ,    ,1638,0   ,3374,0   ,0   ,3405,0   ,0   ,    ,0,,,
Flt Permitted,,,,,,,,,,,,,,,,,,
Satd. Flow (perm)               ,    ,    ,    ,0   ,    ,1638,0   ,3374,0   ,0   ,3405,0   ,0   ,    ,0,,,
Link Speed (mph)                ,    ,    ,    ,30  ,    ,    ,    ,45  ,    ,    ,45  ,    ,30,,,,,
Link Distance (ft)              ,    ,    ,    ,567 ,    ,    ,    ,429 ,    ,    ,228 ,    ,250,,,,,
Travel Time (s)                 ,    ,    ,    ,12.9,    ,    ,    ,6.5 ,    ,    ,3.5 ,    ,5.7,,,,,
Peak Hour Factor                ,    ,    ,    ,0.87,    ,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,    ,0.87,,,
Heavy Vehicles (%)              ,    ,    ,    ,0%  ,    ,7%  ,0%  ,7%  ,0%  ,0%  ,4%  ,18% ,0%  ,    ,0%,,,
Adj. Flow (vph)                 ,    ,    ,    ,0   ,    ,682 ,0   ,1353,0   ,0   ,1509,110 ,0   ,    ,0,,,
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,    ,    ,    ,0   ,    ,682 ,0   ,1353,0   ,0   ,1619,0   ,0   ,    ,0,,,
Enter Blocked Intersection      ,    ,    ,    ,No  ,    ,No  ,No  ,No  ,No  ,No  ,No  ,No  ,No  ,    ,No,,,
Lane Alignment                  ,    ,    ,    ,Left,    ,Right,Left,Left,Right,Left,Left,Right,Left,    ,Right,,,
Median Width(ft)                ,    ,    ,    ,0   ,    ,    ,    ,0   ,    ,    ,0   ,    ,0,,,,,
Link Offset(ft)                 ,    ,    ,    ,0   ,    ,    ,    ,0   ,    ,    ,0   ,    ,0,,,,,
Crosswalk Width(ft)             ,    ,    ,    ,16  ,    ,    ,    ,16  ,    ,    ,16  ,    ,16,,,,,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
